host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,number_of_reviews,number_of_stays,review_duration_days,host_duration_days,price_value,host_response_power,host_commitment,bedroom_quality,space_per_guest,essential_amenities,review_consistency,instant_bookable,host_identity_verified,room_type,cancellation_policy,review_scores_rating
100.0,0,8.0,2.0,1.0,1.0,1.0,15.0,30.0,352,3998.0,22.5,219.72245773362195,128.96774193548387,0.6666666666666666,1.8181818181818181,2,0.16304347826086957,0,1,1,3,91.0
0.0,0,1.0,2.0,1.0,1.0,1.0,22.0,44.0,140,3360.0,19.0,0.0,74.66666666666667,0.6666666666666666,1.8181818181818181,3,0.23157894736842105,0,1,1,0,94.0
100.0,0,2.0,1.0,1.0,1.0,1.0,58.0,116.0,1524,3856.0,49.0,109.86122886681098,32.957264957264954,0.6666666666666666,0.9090909090909091,3,0.5742574257425742,1,1,1,1,100.0
100.0,1,2.0,2.0,1.0,1.0,1.0,49.0,98.0,1201,3544.0,94.5,109.86122886681098,35.7979797979798,0.6666666666666666,1.8181818181818181,1,0.48514851485148514,1,1,1,0,100.0
100.0,0,21.0,7.0,1.0,2.0,3.0,8.0,16.0,1786,5079.0,27.857142857142858,309.1042453358316,298.7647058823529,1.3333333333333333,2.258064516129032,2,0.11267605633802817,0,1,0,3,70.0
100.0,0,21.0,2.0,1.0,1.0,1.0,1.0,2.0,0,3753.0,55.0,309.1042453358316,1251.0,0.6666666666666666,1.8181818181818181,3,0.009900990099009901,0,1,0,3,100.0
0.0,0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,44,3112.0,27.5,0.0,622.4,0.6666666666666666,0.9523809523809523,2,0.03278688524590164,1,0,1,0,60.0
100.0,1,5.0,2.0,1.0,0.0,1.0,122.5,245.0,1346,3852.0,52.5,179.1759469228055,15.658536585365853,0.0,1.8181818181818181,2,1.2628865979381443,1,1,0,0,96.0
100.0,1,21.0,8.0,2.0,2.0,4.0,9.0,18.0,574,4328.0,41.0,309.1042453358316,227.78947368421052,0.8,1.9512195121951221,2,0.09574468085106383,0,1,0,3,93.0
100.0,0,21.0,6.0,2.0,3.0,4.0,3.0,6.0,437,2985.0,77.91666666666667,309.1042453358316,426.42857142857144,1.2,1.4634146341463417,2,0.031914893617021274,1,0,0,3,93.0
100.0,1,6.0,6.0,2.0,3.0,4.0,24.0,48.0,607,4830.0,33.333333333333336,194.59101490553132,98.57142857142857,1.2,1.4634146341463417,3,0.2376237623762376,0,1,0,0,100.0
100.0,1,4.0,3.0,1.0,1.0,2.0,22.0,44.0,113,2662.0,34.666666666666664,160.94379124341003,59.15555555555556,0.6666666666666666,1.4285714285714286,2,0.22,0,1,0,1,99.0
0.0,0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,43,3406.0,37.5,0.0,486.57142857142856,0.6666666666666666,1.8181818181818181,3,0.0297029702970297,0,1,1,1,100.0
