,host_listings_count,accommodates,beds,cleaning_fee,minimum_nights,maximum_nights,review_scores_rating,host_about_cleaned,house_rules_cleaned,notes_cleaned,cancellation_policy_cleaned,description_cleaned,interaction_cleaned,access_cleaned,room_type_cleaned,property_type_cleaned,host_response_time
634,9.0,6.0,3.0,85.0,1.0,1125.0,93.0,0.0009490665164931066,0.0009479661187204621,0.0009937894255250396,1,0.0009402489354139296,0.0009933312539997696,0.0009703383692598138,0,9,1
635,1.0,2.0,1.0,40.0,1.0,1125.0,96.0,0.000999,0.0009880523158891268,0.0009883022998685962,1,0.0009480304256216928,0.0009701083807417869,0.0009795356488575728,1,9,1
636,3.0,4.0,2.0,50.0,2.0,14.0,99.0,0.0009764854224528985,0.000977332102695789,0.0009676270895595416,1,0.0009502239472210277,0.0009892500422070667,0.0009936014379353145,0,9,1
637,21.0,4.0,3.0,80.0,1.0,180.0,99.0,0.0009847383094374062,0.000936473700322543,0.0009547691761449191,1,0.0009387641500219863,0.0009905698276985214,0.0009980011850380705,0,9,1
638,10.0,3.0,1.0,12.0,1.0,330.0,94.0,0.0009286439638585004,0.0009570876178156371,0.0009887309632854227,1,0.0009587392106901678,0.000998000243446929,0.0009980011850380705,1,9,1
639,1.0,8.0,3.0,100.0,2.0,1125.0,93.0,0.0009467266271834716,0.0009691204011747152,0.0009880749162236562,1,0.0009412282273547081,0.0009953626071206483,0.0009980011850380705,0,9,1
640,2.0,2.0,1.0,60.0,2.0,120.0,99.0,0.0009738279363300492,0.0009867903063162512,0.0009791572967058075,1,0.0009410372207855222,0.0009917833490383002,0.0009955952050809728,0,10,1
641,4.0,8.0,6.0,150.0,1.0,1123.0,100.0,0.0009836659703041152,0.0009694554294947888,0.0009404711492471919,1,0.0009389303053679829,0.0009858727047342543,0.0009634316141254948,0,9,1
642,1.0,2.0,1.0,0.0,1.0,1125.0,100.0,0.0009902025947867198,0.0009980006834255744,0.0009894397113506192,1,0.000996074477951632,0.000998000243446929,0.0009980011850380705,1,9,1
643,9.0,5.0,4.0,65.0,2.0,30.0,94.0,0.0009787090017278825,0.0009586357929286929,0.0009711259683705681,1,0.000940243607136541,0.0009826449514272583,0.0009722076103532333,0,9,1
644,21.0,6.0,1.0,125.0,1.0,1125.0,85.0,0.0009575846465313041,0.0009821495434013477,0.0009718488730132125,1,0.0009404609256431063,0.0009859260236347656,0.0009936961682547381,0,9,1
